Metrics	dataset
number_of_reads	50811
number_of_bases	80272949.0
median_read_length	1581.0
mean_read_length	1579.8
read_length_stdev	37.2
n50	1582.0
mean_qual	12.2
median_qual	12.9
longest_read_(with_Q):1	1797 (10.7)
longest_read_(with_Q):2	1796 (12.7)
longest_read_(with_Q):3	1793 (12.0)
longest_read_(with_Q):4	1789 (13.7)
longest_read_(with_Q):5	1788 (14.5)
highest_Q_read_(with_length):1	18.6 (1608)
highest_Q_read_(with_length):2	18.4 (1543)
highest_Q_read_(with_length):3	18.2 (1530)
highest_Q_read_(with_length):4	18.1 (1575)
highest_Q_read_(with_length):5	18.0 (1572)
Reads >Q5:	50811 (100.0%) 80.3Mb
Reads >Q7:	50811 (100.0%) 80.3Mb
Reads >Q10:	50803 (100.0%) 80.3Mb
Reads >Q12:	35875 (70.6%) 56.8Mb
Reads >Q15:	4356 (8.6%) 6.9Mb
