Metrics	dataset
number_of_reads	58080
number_of_bases	90725367.0
median_read_length	1568.0
mean_read_length	1562.1
read_length_stdev	153.9
n50	1568.0
mean_qual	12.3
median_qual	13.0
longest_read_(with_Q):1	5493 (11.5)
longest_read_(with_Q):2	4848 (12.2)
longest_read_(with_Q):3	4390 (11.6)
longest_read_(with_Q):4	3859 (10.8)
longest_read_(with_Q):5	3423 (14.1)
highest_Q_read_(with_length):1	19.2 (1562)
highest_Q_read_(with_length):2	18.6 (1573)
highest_Q_read_(with_length):3	18.5 (1593)
highest_Q_read_(with_length):4	18.3 (1135)
highest_Q_read_(with_length):5	18.3 (1587)
Reads >Q5:	58080 (100.0%) 90.7Mb
Reads >Q7:	58080 (100.0%) 90.7Mb
Reads >Q10:	58074 (100.0%) 90.7Mb
Reads >Q12:	41742 (71.9%) 65.5Mb
Reads >Q15:	5953 (10.2%) 9.4Mb
