Metrics	dataset
number_of_reads	101422
number_of_bases	152650459.0
median_read_length	1578.0
mean_read_length	1505.1
read_length_stdev	310.2
n50	1580.0
mean_qual	12.0
median_qual	12.6
longest_read_(with_Q):1	5196 (13.6)
longest_read_(with_Q):2	4804 (10.5)
longest_read_(with_Q):3	4800 (11.3)
longest_read_(with_Q):4	4774 (11.5)
longest_read_(with_Q):5	4734 (11.1)
highest_Q_read_(with_length):1	26.5 (226)
highest_Q_read_(with_length):2	18.6 (1592)
highest_Q_read_(with_length):3	18.5 (864)
highest_Q_read_(with_length):4	18.4 (1587)
highest_Q_read_(with_length):5	18.3 (1324)
Reads >Q5:	101422 (100.0%) 152.7Mb
Reads >Q7:	101422 (100.0%) 152.7Mb
Reads >Q10:	101402 (100.0%) 152.6Mb
Reads >Q12:	64908 (64.0%) 99.7Mb
Reads >Q15:	7582 (7.5%) 12.0Mb
