Metrics	dataset
number_of_reads	96287
number_of_bases	143825393.0
median_read_length	1580.0
mean_read_length	1493.7
read_length_stdev	334.7
n50	1583.0
mean_qual	12.0
median_qual	12.6
longest_read_(with_Q):1	5065 (12.4)
longest_read_(with_Q):2	5033 (10.7)
longest_read_(with_Q):3	4823 (10.8)
longest_read_(with_Q):4	4770 (11.7)
longest_read_(with_Q):5	4756 (11.2)
highest_Q_read_(with_length):1	19.7 (131)
highest_Q_read_(with_length):2	19.4 (182)
highest_Q_read_(with_length):3	19.1 (1584)
highest_Q_read_(with_length):4	18.5 (1623)
highest_Q_read_(with_length):5	18.5 (1577)
Reads >Q5:	96287 (100.0%) 143.8Mb
Reads >Q7:	96287 (100.0%) 143.8Mb
Reads >Q10:	96266 (100.0%) 143.8Mb
Reads >Q12:	61745 (64.1%) 94.5Mb
Reads >Q15:	7649 (7.9%) 12.1Mb
