Metrics	dataset
number_of_reads	5390
number_of_bases	8454578.0
median_read_length	1578.0
mean_read_length	1568.6
read_length_stdev	162.6
n50	1578.0
mean_qual	11.8
median_qual	12.5
longest_read_(with_Q):1	4806 (13.5)
longest_read_(with_Q):2	3832 (16.3)
longest_read_(with_Q):3	3749 (11.0)
longest_read_(with_Q):4	3236 (10.7)
longest_read_(with_Q):5	3231 (11.3)
highest_Q_read_(with_length):1	17.7 (1583)
highest_Q_read_(with_length):2	17.5 (1584)
highest_Q_read_(with_length):3	17.0 (1575)
highest_Q_read_(with_length):4	16.9 (1530)
highest_Q_read_(with_length):5	16.9 (1575)
Reads >Q5:	5390 (100.0%) 8.5Mb
Reads >Q7:	5390 (100.0%) 8.5Mb
Reads >Q10:	5388 (100.0%) 8.5Mb
Reads >Q12:	3325 (61.7%) 5.2Mb
Reads >Q15:	284 (5.3%) 0.5Mb
