Metrics	dataset
number_of_reads	52097
number_of_bases	82175878.0
median_read_length	1574.0
mean_read_length	1577.4
read_length_stdev	35.8
n50	1574.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	1800 (11.0)
longest_read_(with_Q):2	1799 (12.4)
longest_read_(with_Q):3	1798 (10.3)
longest_read_(with_Q):4	1798 (10.9)
longest_read_(with_Q):5	1795 (12.7)
highest_Q_read_(with_length):1	19.5 (1619)
highest_Q_read_(with_length):2	19.1 (1620)
highest_Q_read_(with_length):3	18.7 (1604)
highest_Q_read_(with_length):4	18.6 (1567)
highest_Q_read_(with_length):5	18.6 (1604)
Reads >Q5:	52097 (100.0%) 82.2Mb
Reads >Q7:	52097 (100.0%) 82.2Mb
Reads >Q10:	52088 (100.0%) 82.2Mb
Reads >Q12:	34488 (66.2%) 54.5Mb
Reads >Q15:	4440 (8.5%) 7.0Mb
