Metrics	dataset
number_of_reads	107161
number_of_bases	166193314.0
median_read_length	1565.0
mean_read_length	1550.9
read_length_stdev	69.6
n50	1566.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	1800 (11.1)
longest_read_(with_Q):2	1800 (10.3)
longest_read_(with_Q):3	1799 (14.6)
longest_read_(with_Q):4	1798 (13.6)
longest_read_(with_Q):5	1797 (13.6)
highest_Q_read_(with_length):1	19.4 (1567)
highest_Q_read_(with_length):2	18.9 (1566)
highest_Q_read_(with_length):3	18.7 (1630)
highest_Q_read_(with_length):4	18.6 (1588)
highest_Q_read_(with_length):5	18.5 (1567)
Reads >Q5:	107161 (100.0%) 166.2Mb
Reads >Q7:	107161 (100.0%) 166.2Mb
Reads >Q10:	107153 (100.0%) 166.2Mb
Reads >Q12:	69114 (64.5%) 107.4Mb
Reads >Q15:	7608 (7.1%) 11.9Mb
