Metrics	dataset
number_of_reads	115869
number_of_bases	185768096.0
median_read_length	1612.0
mean_read_length	1603.3
read_length_stdev	46.0
n50	1613.0
mean_qual	11.9
median_qual	12.6
longest_read_(with_Q):1	1800 (13.3)
longest_read_(with_Q):2	1797 (11.3)
longest_read_(with_Q):3	1797 (12.7)
longest_read_(with_Q):4	1797 (11.8)
longest_read_(with_Q):5	1796 (14.1)
highest_Q_read_(with_length):1	18.7 (1628)
highest_Q_read_(with_length):2	18.7 (1609)
highest_Q_read_(with_length):3	18.4 (1220)
highest_Q_read_(with_length):4	18.4 (1615)
highest_Q_read_(with_length):5	18.3 (1558)
Reads >Q5:	115869 (100.0%) 185.8Mb
Reads >Q7:	115869 (100.0%) 185.8Mb
Reads >Q10:	115852 (100.0%) 185.7Mb
Reads >Q12:	73927 (63.8%) 118.8Mb
Reads >Q15:	7919 (6.8%) 12.8Mb
