Metrics	dataset
number_of_reads	5272
number_of_bases	8294646.0
median_read_length	1578.0
mean_read_length	1573.3
read_length_stdev	36.9
n50	1578.0
mean_qual	11.9
median_qual	12.6
longest_read_(with_Q):1	1795 (12.7)
longest_read_(with_Q):2	1790 (10.8)
longest_read_(with_Q):3	1776 (14.0)
longest_read_(with_Q):4	1772 (13.9)
longest_read_(with_Q):5	1771 (12.6)
highest_Q_read_(with_length):1	17.7 (1583)
highest_Q_read_(with_length):2	17.5 (1584)
highest_Q_read_(with_length):3	17.0 (1575)
highest_Q_read_(with_length):4	16.9 (1530)
highest_Q_read_(with_length):5	16.9 (1575)
Reads >Q5:	5272 (100.0%) 8.3Mb
Reads >Q7:	5272 (100.0%) 8.3Mb
Reads >Q10:	5270 (100.0%) 8.3Mb
Reads >Q12:	3280 (62.2%) 5.2Mb
Reads >Q15:	282 (5.3%) 0.4Mb
