Metrics	dataset
number_of_reads	84088
number_of_bases	134339365.0
median_read_length	1611.0
mean_read_length	1597.6
read_length_stdev	56.6
n50	1612.0
mean_qual	12.0
median_qual	12.8
longest_read_(with_Q):1	1800 (10.9)
longest_read_(with_Q):2	1800 (13.1)
longest_read_(with_Q):3	1800 (12.4)
longest_read_(with_Q):4	1800 (11.7)
longest_read_(with_Q):5	1800 (12.4)
highest_Q_read_(with_length):1	19.1 (1632)
highest_Q_read_(with_length):2	18.9 (1623)
highest_Q_read_(with_length):3	18.8 (1564)
highest_Q_read_(with_length):4	18.6 (1622)
highest_Q_read_(with_length):5	18.4 (1618)
Reads >Q5:	84088 (100.0%) 134.3Mb
Reads >Q7:	84088 (100.0%) 134.3Mb
Reads >Q10:	84076 (100.0%) 134.3Mb
Reads >Q12:	55743 (66.3%) 89.2Mb
Reads >Q15:	6773 (8.1%) 10.9Mb
