Metrics	dataset
number_of_reads	92112
number_of_bases	145525943.0
median_read_length	1580.0
mean_read_length	1579.9
read_length_stdev	41.7
n50	1581.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	1800 (13.7)
longest_read_(with_Q):2	1799 (10.9)
longest_read_(with_Q):3	1799 (10.4)
longest_read_(with_Q):4	1798 (10.9)
longest_read_(with_Q):5	1797 (12.1)
highest_Q_read_(with_length):1	18.6 (1592)
highest_Q_read_(with_length):2	18.4 (1587)
highest_Q_read_(with_length):3	18.3 (1324)
highest_Q_read_(with_length):4	18.3 (1591)
highest_Q_read_(with_length):5	18.2 (1573)
Reads >Q5:	92112 (100.0%) 145.5Mb
Reads >Q7:	92112 (100.0%) 145.5Mb
Reads >Q10:	92096 (100.0%) 145.5Mb
Reads >Q12:	60726 (65.9%) 96.1Mb
Reads >Q15:	7421 (8.1%) 11.8Mb
