Metrics	dataset
number_of_reads	53437
number_of_bases	83944635.0
median_read_length	1573.0
mean_read_length	1570.9
read_length_stdev	170.3
n50	1574.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	4634 (10.4)
longest_read_(with_Q):2	4385 (11.4)
longest_read_(with_Q):3	3817 (13.7)
longest_read_(with_Q):4	3692 (11.7)
longest_read_(with_Q):5	3540 (11.2)
highest_Q_read_(with_length):1	19.5 (1619)
highest_Q_read_(with_length):2	19.3 (962)
highest_Q_read_(with_length):3	19.1 (1620)
highest_Q_read_(with_length):4	18.7 (1604)
highest_Q_read_(with_length):5	18.6 (1567)
Reads >Q5:	53437 (100.0%) 83.9Mb
Reads >Q7:	53437 (100.0%) 83.9Mb
Reads >Q10:	53428 (100.0%) 83.9Mb
Reads >Q12:	35092 (65.7%) 55.4Mb
Reads >Q15:	4468 (8.4%) 7.1Mb
