Metrics	dataset
number_of_reads	87483
number_of_bases	139972869.0
median_read_length	1611.0
mean_read_length	1600.0
read_length_stdev	46.3
n50	1611.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	1800 (12.2)
longest_read_(with_Q):2	1800 (13.8)
longest_read_(with_Q):3	1800 (10.6)
longest_read_(with_Q):4	1798 (13.3)
longest_read_(with_Q):5	1798 (16.5)
highest_Q_read_(with_length):1	19.2 (1470)
highest_Q_read_(with_length):2	18.7 (1629)
highest_Q_read_(with_length):3	18.7 (1625)
highest_Q_read_(with_length):4	18.5 (1585)
highest_Q_read_(with_length):5	18.3 (1630)
Reads >Q5:	87483 (100.0%) 140.0Mb
Reads >Q7:	87483 (100.0%) 140.0Mb
Reads >Q10:	87459 (100.0%) 139.9Mb
Reads >Q12:	58600 (67.0%) 94.0Mb
Reads >Q15:	8097 (9.3%) 13.0Mb
