Metrics	dataset
number_of_reads	84680
number_of_bases	134555153.0
median_read_length	1600.0
mean_read_length	1589.0
read_length_stdev	54.9
n50	1601.0
mean_qual	12.0
median_qual	12.8
longest_read_(with_Q):1	1800 (12.9)
longest_read_(with_Q):2	1800 (14.0)
longest_read_(with_Q):3	1799 (11.5)
longest_read_(with_Q):4	1797 (13.7)
longest_read_(with_Q):5	1796 (13.3)
highest_Q_read_(with_length):1	19.2 (1618)
highest_Q_read_(with_length):2	18.6 (1622)
highest_Q_read_(with_length):3	18.3 (1624)
highest_Q_read_(with_length):4	18.3 (1624)
highest_Q_read_(with_length):5	18.2 (1577)
Reads >Q5:	84680 (100.0%) 134.6Mb
Reads >Q7:	84680 (100.0%) 134.6Mb
Reads >Q10:	84669 (100.0%) 134.5Mb
Reads >Q12:	55922 (66.0%) 89.1Mb
Reads >Q15:	6997 (8.3%) 11.2Mb
