Metrics	dataset
number_of_reads	1385
number_of_bases	2202567.0
median_read_length	1598.0
mean_read_length	1590.3
read_length_stdev	154.2
n50	1599.0
mean_qual	11.9
median_qual	12.5
longest_read_(with_Q):1	3309 (14.3)
longest_read_(with_Q):2	3240 (14.4)
longest_read_(with_Q):3	3222 (11.2)
longest_read_(with_Q):4	3210 (10.7)
longest_read_(with_Q):5	3180 (11.4)
highest_Q_read_(with_length):1	17.4 (1618)
highest_Q_read_(with_length):2	17.1 (1407)
highest_Q_read_(with_length):3	17.0 (1571)
highest_Q_read_(with_length):4	16.9 (1630)
highest_Q_read_(with_length):5	16.9 (1567)
Reads >Q5:	1385 (100.0%) 2.2Mb
Reads >Q7:	1385 (100.0%) 2.2Mb
Reads >Q10:	1385 (100.0%) 2.2Mb
Reads >Q12:	865 (62.5%) 1.4Mb
Reads >Q15:	86 (6.2%) 0.1Mb
