Metrics	dataset
number_of_reads	165514
number_of_bases	263944542.0
median_read_length	1601.0
mean_read_length	1594.7
read_length_stdev	38.3
n50	1602.0
mean_qual	12.2
median_qual	13.0
longest_read_(with_Q):1	1800 (11.2)
longest_read_(with_Q):2	1800 (11.5)
longest_read_(with_Q):3	1800 (13.0)
longest_read_(with_Q):4	1800 (10.3)
longest_read_(with_Q):5	1799 (13.1)
highest_Q_read_(with_length):1	19.4 (1621)
highest_Q_read_(with_length):2	19.1 (1581)
highest_Q_read_(with_length):3	19.0 (1579)
highest_Q_read_(with_length):4	18.6 (1583)
highest_Q_read_(with_length):5	18.5 (1629)
Reads >Q5:	165514 (100.0%) 263.9Mb
Reads >Q7:	165514 (100.0%) 263.9Mb
Reads >Q10:	165501 (100.0%) 263.9Mb
Reads >Q12:	118134 (71.4%) 188.7Mb
Reads >Q15:	15445 (9.3%) 24.8Mb
