Metrics	dataset
number_of_reads	106416
number_of_bases	167085331.0
median_read_length	1577.0
mean_read_length	1570.1
read_length_stdev	51.9
n50	1578.0
mean_qual	11.8
median_qual	12.5
longest_read_(with_Q):1	1800 (12.6)
longest_read_(with_Q):2	1798 (12.5)
longest_read_(with_Q):3	1797 (14.8)
longest_read_(with_Q):4	1797 (10.9)
longest_read_(with_Q):5	1797 (12.1)
highest_Q_read_(with_length):1	18.2 (1626)
highest_Q_read_(with_length):2	18.1 (1611)
highest_Q_read_(with_length):3	18.1 (1619)
highest_Q_read_(with_length):4	18.0 (1610)
highest_Q_read_(with_length):5	18.0 (1563)
Reads >Q5:	106416 (100.0%) 167.1Mb
Reads >Q7:	106416 (100.0%) 167.1Mb
Reads >Q10:	106385 (100.0%) 167.0Mb
Reads >Q12:	64993 (61.1%) 102.3Mb
Reads >Q15:	5027 (4.7%) 7.9Mb
