Metrics	dataset
number_of_reads	94649
number_of_bases	149088324.0
median_read_length	1576.0
mean_read_length	1575.2
read_length_stdev	47.1
n50	1576.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	1800 (13.0)
longest_read_(with_Q):2	1799 (12.5)
longest_read_(with_Q):3	1797 (13.8)
longest_read_(with_Q):4	1796 (10.8)
longest_read_(with_Q):5	1795 (14.2)
highest_Q_read_(with_length):1	19.5 (1303)
highest_Q_read_(with_length):2	18.8 (1591)
highest_Q_read_(with_length):3	18.8 (1623)
highest_Q_read_(with_length):4	18.7 (1617)
highest_Q_read_(with_length):5	18.6 (1635)
Reads >Q5:	94649 (100.0%) 149.1Mb
Reads >Q7:	94649 (100.0%) 149.1Mb
Reads >Q10:	94638 (100.0%) 149.1Mb
Reads >Q12:	62652 (66.2%) 98.9Mb
Reads >Q15:	7740 (8.2%) 12.3Mb
