Metrics	dataset
number_of_reads	136020
number_of_bases	212311266.0
median_read_length	1596.0
mean_read_length	1560.9
read_length_stdev	226.5
n50	1597.0
mean_qual	12.1
median_qual	12.9
longest_read_(with_Q):1	4884 (13.2)
longest_read_(with_Q):2	4771 (10.7)
longest_read_(with_Q):3	4340 (12.7)
longest_read_(with_Q):4	3894 (11.3)
longest_read_(with_Q):5	3647 (13.3)
highest_Q_read_(with_length):1	21.0 (255)
highest_Q_read_(with_length):2	20.9 (232)
highest_Q_read_(with_length):3	18.9 (1542)
highest_Q_read_(with_length):4	18.7 (1585)
highest_Q_read_(with_length):5	18.6 (1566)
Reads >Q5:	136020 (100.0%) 212.3Mb
Reads >Q7:	136020 (100.0%) 212.3Mb
Reads >Q10:	136009 (100.0%) 212.3Mb
Reads >Q12:	94338 (69.4%) 149.3Mb
Reads >Q15:	10371 (7.6%) 16.6Mb
