Metrics	dataset
number_of_reads	138319
number_of_bases	220656160.0
median_read_length	1612.0
mean_read_length	1595.3
read_length_stdev	67.1
n50	1612.0
mean_qual	11.9
median_qual	12.6
longest_read_(with_Q):1	1800 (12.4)
longest_read_(with_Q):2	1799 (11.7)
longest_read_(with_Q):3	1799 (11.8)
longest_read_(with_Q):4	1798 (13.6)
longest_read_(with_Q):5	1797 (10.7)
highest_Q_read_(with_length):1	18.9 (1626)
highest_Q_read_(with_length):2	18.3 (1631)
highest_Q_read_(with_length):3	18.3 (1622)
highest_Q_read_(with_length):4	18.3 (1614)
highest_Q_read_(with_length):5	18.2 (1631)
Reads >Q5:	138319 (100.0%) 220.7Mb
Reads >Q7:	138319 (100.0%) 220.7Mb
Reads >Q10:	138301 (100.0%) 220.6Mb
Reads >Q12:	88478 (64.0%) 141.4Mb
Reads >Q15:	9180 (6.6%) 14.7Mb
