Metrics	dataset
number_of_reads	2772
number_of_bases	4345887.0
median_read_length	1584.0
mean_read_length	1567.8
read_length_stdev	140.4
n50	1585.0
mean_qual	12.1
median_qual	12.9
longest_read_(with_Q):1	3198 (12.3)
longest_read_(with_Q):2	3197 (10.4)
longest_read_(with_Q):3	3181 (11.0)
longest_read_(with_Q):4	3136 (12.3)
longest_read_(with_Q):5	2004 (12.0)
highest_Q_read_(with_length):1	18.3 (1558)
highest_Q_read_(with_length):2	17.6 (1588)
highest_Q_read_(with_length):3	17.5 (1605)
highest_Q_read_(with_length):4	17.0 (1622)
highest_Q_read_(with_length):5	17.0 (1544)
Reads >Q5:	2772 (100.0%) 4.3Mb
Reads >Q7:	2772 (100.0%) 4.3Mb
Reads >Q10:	2772 (100.0%) 4.3Mb
Reads >Q12:	1941 (70.0%) 3.1Mb
Reads >Q15:	229 (8.3%) 0.4Mb
