Metrics	dataset
number_of_reads	120286
number_of_bases	191786072.0
median_read_length	1599.0
mean_read_length	1594.4
read_length_stdev	40.6
n50	1600.0
mean_qual	12.2
median_qual	12.9
longest_read_(with_Q):1	1800 (12.9)
longest_read_(with_Q):2	1799 (12.4)
longest_read_(with_Q):3	1798 (12.9)
longest_read_(with_Q):4	1798 (13.1)
longest_read_(with_Q):5	1798 (11.9)
highest_Q_read_(with_length):1	18.7 (1601)
highest_Q_read_(with_length):2	18.5 (1559)
highest_Q_read_(with_length):3	18.5 (1588)
highest_Q_read_(with_length):4	18.3 (1584)
highest_Q_read_(with_length):5	18.3 (1226)
Reads >Q5:	120286 (100.0%) 191.8Mb
Reads >Q7:	120286 (100.0%) 191.8Mb
Reads >Q10:	120277 (100.0%) 191.8Mb
Reads >Q12:	85003 (70.7%) 135.8Mb
Reads >Q15:	9554 (7.9%) 15.3Mb
