Metrics	dataset
number_of_reads	2025
number_of_bases	3217799.0
median_read_length	1593.0
mean_read_length	1589.0
read_length_stdev	32.0
n50	1593.0
mean_qual	11.9
median_qual	12.6
longest_read_(with_Q):1	1788 (10.5)
longest_read_(with_Q):2	1771 (10.1)
longest_read_(with_Q):3	1767 (13.0)
longest_read_(with_Q):4	1728 (11.9)
longest_read_(with_Q):5	1723 (13.0)
highest_Q_read_(with_length):1	17.0 (1577)
highest_Q_read_(with_length):2	17.0 (1570)
highest_Q_read_(with_length):3	16.8 (1608)
highest_Q_read_(with_length):4	16.6 (1607)
highest_Q_read_(with_length):5	16.5 (1588)
Reads >Q5:	2025 (100.0%) 3.2Mb
Reads >Q7:	2025 (100.0%) 3.2Mb
Reads >Q10:	2025 (100.0%) 3.2Mb
Reads >Q12:	1263 (62.4%) 2.0Mb
Reads >Q15:	103 (5.1%) 0.2Mb
