Metrics	dataset
number_of_reads	92224
number_of_bases	144733615.0
median_read_length	1574.0
mean_read_length	1569.4
read_length_stdev	49.9
n50	1574.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	1800 (12.6)
longest_read_(with_Q):2	1799 (10.4)
longest_read_(with_Q):3	1799 (13.3)
longest_read_(with_Q):4	1799 (10.2)
longest_read_(with_Q):5	1799 (14.9)
highest_Q_read_(with_length):1	18.7 (1609)
highest_Q_read_(with_length):2	18.6 (1614)
highest_Q_read_(with_length):3	18.4 (1567)
highest_Q_read_(with_length):4	18.3 (1614)
highest_Q_read_(with_length):5	18.2 (1574)
Reads >Q5:	92224 (100.0%) 144.7Mb
Reads >Q7:	92224 (100.0%) 144.7Mb
Reads >Q10:	92213 (100.0%) 144.7Mb
Reads >Q12:	60233 (65.3%) 94.7Mb
Reads >Q15:	6650 (7.2%) 10.5Mb
