Metrics	dataset
number_of_reads	99453
number_of_bases	148902127.0
median_read_length	1593.0
mean_read_length	1497.2
read_length_stdev	339.5
n50	1598.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	4885 (13.5)
longest_read_(with_Q):2	4879 (13.5)
longest_read_(with_Q):3	4822 (12.3)
longest_read_(with_Q):4	4796 (10.4)
longest_read_(with_Q):5	4745 (10.5)
highest_Q_read_(with_length):1	19.8 (1459)
highest_Q_read_(with_length):2	18.6 (794)
highest_Q_read_(with_length):3	18.3 (1621)
highest_Q_read_(with_length):4	18.3 (1570)
highest_Q_read_(with_length):5	18.2 (1627)
Reads >Q5:	99453 (100.0%) 148.9Mb
Reads >Q7:	99453 (100.0%) 148.9Mb
Reads >Q10:	99435 (100.0%) 148.9Mb
Reads >Q12:	64145 (64.5%) 98.4Mb
Reads >Q15:	7763 (7.8%) 12.3Mb
