Metrics	dataset
number_of_reads	92970
number_of_bases	147750386.0
median_read_length	1606.0
mean_read_length	1589.2
read_length_stdev	173.0
n50	1607.0
mean_qual	12.2
median_qual	12.9
longest_read_(with_Q):1	4773 (13.0)
longest_read_(with_Q):2	4686 (11.1)
longest_read_(with_Q):3	4664 (11.4)
longest_read_(with_Q):4	3734 (10.2)
longest_read_(with_Q):5	3511 (11.1)
highest_Q_read_(with_length):1	18.9 (468)
highest_Q_read_(with_length):2	18.7 (260)
highest_Q_read_(with_length):3	18.6 (1553)
highest_Q_read_(with_length):4	18.6 (1626)
highest_Q_read_(with_length):5	18.5 (1583)
Reads >Q5:	92970 (100.0%) 147.8Mb
Reads >Q7:	92970 (100.0%) 147.8Mb
Reads >Q10:	92959 (100.0%) 147.7Mb
Reads >Q12:	65741 (70.7%) 105.2Mb
Reads >Q15:	8145 (8.8%) 13.1Mb
