Metrics	dataset
number_of_reads	86001
number_of_bases	135870750.0
median_read_length	1582.0
mean_read_length	1579.9
read_length_stdev	43.1
n50	1583.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	1799 (13.3)
longest_read_(with_Q):2	1796 (10.9)
longest_read_(with_Q):3	1795 (11.6)
longest_read_(with_Q):4	1795 (12.0)
longest_read_(with_Q):5	1795 (11.9)
highest_Q_read_(with_length):1	19.2 (1409)
highest_Q_read_(with_length):2	18.8 (1615)
highest_Q_read_(with_length):3	18.6 (1612)
highest_Q_read_(with_length):4	18.3 (1617)
highest_Q_read_(with_length):5	18.2 (1618)
Reads >Q5:	86001 (100.0%) 135.9Mb
Reads >Q7:	86001 (100.0%) 135.9Mb
Reads >Q10:	85978 (100.0%) 135.8Mb
Reads >Q12:	57270 (66.6%) 90.6Mb
Reads >Q15:	7467 (8.7%) 11.8Mb
