Metrics	dataset
number_of_reads	93189
number_of_bases	141163750.0
median_read_length	1596.0
mean_read_length	1514.8
read_length_stdev	312.4
n50	1600.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	5096 (11.2)
longest_read_(with_Q):2	4883 (12.3)
longest_read_(with_Q):3	4845 (13.2)
longest_read_(with_Q):4	4821 (15.3)
longest_read_(with_Q):5	4786 (11.4)
highest_Q_read_(with_length):1	25.2 (122)
highest_Q_read_(with_length):2	23.4 (105)
highest_Q_read_(with_length):3	19.2 (1618)
highest_Q_read_(with_length):4	18.6 (1622)
highest_Q_read_(with_length):5	18.3 (1624)
Reads >Q5:	93189 (100.0%) 141.2Mb
Reads >Q7:	93189 (100.0%) 141.2Mb
Reads >Q10:	93173 (100.0%) 141.1Mb
Reads >Q12:	59672 (64.0%) 92.4Mb
Reads >Q15:	7132 (7.7%) 11.3Mb
