Metrics	dataset
number_of_reads	77365
number_of_bases	120538314.0
median_read_length	1564.0
mean_read_length	1558.0
read_length_stdev	162.7
n50	1564.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	4789 (10.8)
longest_read_(with_Q):2	4772 (11.9)
longest_read_(with_Q):3	4770 (15.0)
longest_read_(with_Q):4	3669 (11.2)
longest_read_(with_Q):5	3601 (12.8)
highest_Q_read_(with_length):1	20.4 (626)
highest_Q_read_(with_length):2	19.0 (1565)
highest_Q_read_(with_length):3	18.7 (1571)
highest_Q_read_(with_length):4	18.7 (1568)
highest_Q_read_(with_length):5	18.7 (1503)
Reads >Q5:	77365 (100.0%) 120.5Mb
Reads >Q7:	77365 (100.0%) 120.5Mb
Reads >Q10:	77356 (100.0%) 120.5Mb
Reads >Q12:	51665 (66.8%) 80.8Mb
Reads >Q15:	6945 (9.0%) 10.9Mb
