Metrics	dataset
number_of_reads	1358
number_of_bases	2166987.0
median_read_length	1599.0
mean_read_length	1595.7
read_length_stdev	32.7
n50	1599.0
mean_qual	11.9
median_qual	12.6
longest_read_(with_Q):1	1754 (11.0)
longest_read_(with_Q):2	1743 (11.7)
longest_read_(with_Q):3	1723 (12.7)
longest_read_(with_Q):4	1719 (11.4)
longest_read_(with_Q):5	1701 (13.4)
highest_Q_read_(with_length):1	17.4 (1618)
highest_Q_read_(with_length):2	17.1 (1407)
highest_Q_read_(with_length):3	17.0 (1571)
highest_Q_read_(with_length):4	16.9 (1630)
highest_Q_read_(with_length):5	16.9 (1567)
Reads >Q5:	1358 (100.0%) 2.2Mb
Reads >Q7:	1358 (100.0%) 2.2Mb
Reads >Q10:	1358 (100.0%) 2.2Mb
Reads >Q12:	852 (62.7%) 1.4Mb
Reads >Q15:	85 (6.3%) 0.1Mb
