Metrics	dataset
number_of_reads	2074
number_of_bases	3279441.0
median_read_length	1592.0
mean_read_length	1581.2
read_length_stdev	171.7
n50	1593.0
mean_qual	11.8
median_qual	12.5
longest_read_(with_Q):1	4915 (11.9)
longest_read_(with_Q):2	3220 (12.2)
longest_read_(with_Q):3	3194 (13.0)
longest_read_(with_Q):4	3188 (13.1)
longest_read_(with_Q):5	3184 (12.5)
highest_Q_read_(with_length):1	17.0 (1577)
highest_Q_read_(with_length):2	17.0 (1570)
highest_Q_read_(with_length):3	16.8 (1608)
highest_Q_read_(with_length):4	16.6 (1607)
highest_Q_read_(with_length):5	16.5 (1588)
Reads >Q5:	2074 (100.0%) 3.3Mb
Reads >Q7:	2074 (100.0%) 3.3Mb
Reads >Q10:	2074 (100.0%) 3.3Mb
Reads >Q12:	1285 (62.0%) 2.0Mb
Reads >Q15:	103 (5.0%) 0.2Mb
