Metrics	dataset
number_of_reads	90154
number_of_bases	140179070.0
median_read_length	1614.0
mean_read_length	1554.9
read_length_stdev	288.6
n50	1615.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	4718 (12.0)
longest_read_(with_Q):2	4155 (11.8)
longest_read_(with_Q):3	3736 (10.8)
longest_read_(with_Q):4	3614 (10.6)
longest_read_(with_Q):5	3559 (11.7)
highest_Q_read_(with_length):1	19.3 (1601)
highest_Q_read_(with_length):2	19.3 (1631)
highest_Q_read_(with_length):3	18.9 (1619)
highest_Q_read_(with_length):4	18.6 (1630)
highest_Q_read_(with_length):5	18.6 (1619)
Reads >Q5:	90154 (100.0%) 140.2Mb
Reads >Q7:	90154 (100.0%) 140.2Mb
Reads >Q10:	90141 (100.0%) 140.2Mb
Reads >Q12:	58896 (65.3%) 93.2Mb
Reads >Q15:	8060 (8.9%) 13.0Mb
