Metrics	dataset
number_of_reads	27
number_of_bases	35109.0
median_read_length	1525.0
mean_read_length	1300.3
read_length_stdev	629.7
n50	1641.0
mean_qual	11.0
median_qual	11.4
longest_read_(with_Q):1	3163 (10.6)
longest_read_(with_Q):2	2015 (10.6)
longest_read_(with_Q):3	1723 (11.4)
longest_read_(with_Q):4	1716 (13.9)
longest_read_(with_Q):5	1708 (11.0)
highest_Q_read_(with_length):1	14.1 (1525)
highest_Q_read_(with_length):2	13.9 (1716)
highest_Q_read_(with_length):3	13.4 (1708)
highest_Q_read_(with_length):4	12.7 (1615)
highest_Q_read_(with_length):5	12.6 (1317)
Reads >Q5:	27 (100.0%) 0.0Mb
Reads >Q7:	27 (100.0%) 0.0Mb
Reads >Q10:	27 (100.0%) 0.0Mb
Reads >Q12:	8 (29.6%) 0.0Mb
Reads >Q15:	0 (0.0%) 0.0Mb
