Metrics	dataset
number_of_reads	60901
number_of_bases	94265547.0
median_read_length	1547.0
mean_read_length	1547.8
read_length_stdev	33.0
n50	1547.0
mean_qual	12.5
median_qual	13.4
longest_read_(with_Q):1	1800 (14.2)
longest_read_(with_Q):2	1800 (11.5)
longest_read_(with_Q):3	1798 (12.6)
longest_read_(with_Q):4	1797 (13.8)
longest_read_(with_Q):5	1794 (13.3)
highest_Q_read_(with_length):1	19.0 (1556)
highest_Q_read_(with_length):2	19.0 (1625)
highest_Q_read_(with_length):3	18.9 (1551)
highest_Q_read_(with_length):4	18.8 (1544)
highest_Q_read_(with_length):5	18.6 (1558)
Reads >Q5:	60901 (100.0%) 94.3Mb
Reads >Q7:	60901 (100.0%) 94.3Mb
Reads >Q10:	60893 (100.0%) 94.3Mb
Reads >Q12:	46428 (76.2%) 72.0Mb
Reads >Q15:	10128 (16.6%) 15.7Mb
