Metrics	dataset
number_of_reads	86826
number_of_bases	137267465.0
median_read_length	1578.0
mean_read_length	1580.9
read_length_stdev	32.6
n50	1578.0
mean_qual	12.1
median_qual	12.9
longest_read_(with_Q):1	1799 (12.4)
longest_read_(with_Q):2	1798 (11.2)
longest_read_(with_Q):3	1797 (13.7)
longest_read_(with_Q):4	1797 (12.9)
longest_read_(with_Q):5	1790 (12.3)
highest_Q_read_(with_length):1	19.5 (1580)
highest_Q_read_(with_length):2	19.1 (1579)
highest_Q_read_(with_length):3	18.6 (1574)
highest_Q_read_(with_length):4	18.5 (1581)
highest_Q_read_(with_length):5	18.4 (1580)
Reads >Q5:	86826 (100.0%) 137.3Mb
Reads >Q7:	86826 (100.0%) 137.3Mb
Reads >Q10:	86810 (100.0%) 137.2Mb
Reads >Q12:	59071 (68.0%) 93.5Mb
Reads >Q15:	8272 (9.5%) 13.1Mb
