Metrics	dataset
number_of_reads	93293
number_of_bases	142068784.0
median_read_length	1580.0
mean_read_length	1522.8
read_length_stdev	279.5
n50	1582.0
mean_qual	12.0
median_qual	12.7
longest_read_(with_Q):1	4864 (12.0)
longest_read_(with_Q):2	4830 (14.1)
longest_read_(with_Q):3	4370 (12.4)
longest_read_(with_Q):4	3787 (10.3)
longest_read_(with_Q):5	3716 (13.1)
highest_Q_read_(with_length):1	19.2 (1409)
highest_Q_read_(with_length):2	19.0 (55)
highest_Q_read_(with_length):3	18.8 (1615)
highest_Q_read_(with_length):4	18.6 (1612)
highest_Q_read_(with_length):5	18.3 (63)
Reads >Q5:	93293 (100.0%) 142.1Mb
Reads >Q7:	93293 (100.0%) 142.1Mb
Reads >Q10:	93264 (100.0%) 142.0Mb
Reads >Q12:	60723 (65.1%) 93.9Mb
Reads >Q15:	7613 (8.2%) 12.0Mb
