Metrics	dataset
number_of_reads	56811
number_of_bases	89205653.0
median_read_length	1568.0
mean_read_length	1570.2
read_length_stdev	34.0
n50	1568.0
mean_qual	12.3
median_qual	13.1
longest_read_(with_Q):1	1798 (10.5)
longest_read_(with_Q):2	1795 (11.9)
longest_read_(with_Q):3	1793 (12.6)
longest_read_(with_Q):4	1792 (13.1)
longest_read_(with_Q):5	1792 (11.4)
highest_Q_read_(with_length):1	19.2 (1562)
highest_Q_read_(with_length):2	18.6 (1573)
highest_Q_read_(with_length):3	18.5 (1593)
highest_Q_read_(with_length):4	18.3 (1587)
highest_Q_read_(with_length):5	18.3 (1578)
Reads >Q5:	56811 (100.0%) 89.2Mb
Reads >Q7:	56811 (100.0%) 89.2Mb
Reads >Q10:	56805 (100.0%) 89.2Mb
Reads >Q12:	41111 (72.4%) 64.6Mb
Reads >Q15:	5917 (10.4%) 9.3Mb
