Metrics	dataset
number_of_reads	88738
number_of_bases	139905263.0
median_read_length	1577.0
mean_read_length	1576.6
read_length_stdev	161.6
n50	1578.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	4905 (12.2)
longest_read_(with_Q):2	4834 (13.9)
longest_read_(with_Q):3	4820 (11.9)
longest_read_(with_Q):4	4770 (12.3)
longest_read_(with_Q):5	4770 (12.5)
highest_Q_read_(with_length):1	21.9 (206)
highest_Q_read_(with_length):2	19.5 (1580)
highest_Q_read_(with_length):3	19.1 (1579)
highest_Q_read_(with_length):4	18.6 (1574)
highest_Q_read_(with_length):5	18.5 (1581)
Reads >Q5:	88738 (100.0%) 139.9Mb
Reads >Q7:	88738 (100.0%) 139.9Mb
Reads >Q10:	88721 (100.0%) 139.9Mb
Reads >Q12:	60038 (67.7%) 94.9Mb
Reads >Q15:	8322 (9.4%) 13.2Mb
