Metrics	dataset
number_of_reads	122239
number_of_bases	179628752.0
median_read_length	1574.0
mean_read_length	1469.5
read_length_stdev	333.1
n50	1576.0
mean_qual	11.7
median_qual	12.4
longest_read_(with_Q):1	4987 (12.6)
longest_read_(with_Q):2	4846 (11.9)
longest_read_(with_Q):3	4661 (12.2)
longest_read_(with_Q):4	4215 (12.1)
longest_read_(with_Q):5	3933 (11.1)
highest_Q_read_(with_length):1	18.6 (54)
highest_Q_read_(with_length):2	18.4 (1147)
highest_Q_read_(with_length):3	18.2 (1626)
highest_Q_read_(with_length):4	18.1 (1611)
highest_Q_read_(with_length):5	18.1 (1619)
Reads >Q5:	122239 (100.0%) 179.6Mb
Reads >Q7:	122239 (100.0%) 179.6Mb
Reads >Q10:	122199 (100.0%) 179.6Mb
Reads >Q12:	71873 (58.8%) 108.4Mb
Reads >Q15:	5218 (4.3%) 8.1Mb
