Metrics	dataset
number_of_reads	82599
number_of_bases	129724378.0
median_read_length	1581.0
mean_read_length	1570.5
read_length_stdev	59.4
n50	1582.0
mean_qual	11.8
median_qual	12.5
longest_read_(with_Q):1	1799 (10.9)
longest_read_(with_Q):2	1798 (11.1)
longest_read_(with_Q):3	1798 (12.4)
longest_read_(with_Q):4	1798 (12.7)
longest_read_(with_Q):5	1797 (12.3)
highest_Q_read_(with_length):1	17.9 (1589)
highest_Q_read_(with_length):2	17.8 (1598)
highest_Q_read_(with_length):3	17.8 (1588)
highest_Q_read_(with_length):4	17.7 (1622)
highest_Q_read_(with_length):5	17.7 (1503)
Reads >Q5:	82599 (100.0%) 129.7Mb
Reads >Q7:	82599 (100.0%) 129.7Mb
Reads >Q10:	82585 (100.0%) 129.7Mb
Reads >Q12:	50264 (60.9%) 79.1Mb
Reads >Q15:	4073 (4.9%) 6.4Mb
