Metrics	dataset
number_of_reads	75277
number_of_bases	119415572.0
median_read_length	1598.0
mean_read_length	1586.3
read_length_stdev	152.9
n50	1599.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	4696 (14.7)
longest_read_(with_Q):2	3860 (11.5)
longest_read_(with_Q):3	3785 (11.2)
longest_read_(with_Q):4	3744 (10.9)
longest_read_(with_Q):5	3635 (13.1)
highest_Q_read_(with_length):1	18.8 (233)
highest_Q_read_(with_length):2	18.6 (1613)
highest_Q_read_(with_length):3	18.5 (1615)
highest_Q_read_(with_length):4	18.4 (1603)
highest_Q_read_(with_length):5	18.3 (1606)
Reads >Q5:	75277 (100.0%) 119.4Mb
Reads >Q7:	75277 (100.0%) 119.4Mb
Reads >Q10:	75270 (100.0%) 119.4Mb
Reads >Q12:	51848 (68.9%) 82.6Mb
Reads >Q15:	5231 (6.9%) 8.4Mb
