Metrics	dataset
number_of_reads	6896
number_of_bases	10917600.0
median_read_length	1596.0
mean_read_length	1583.2
read_length_stdev	157.6
n50	1596.0
mean_qual	11.8
median_qual	12.5
longest_read_(with_Q):1	3493 (11.0)
longest_read_(with_Q):2	3258 (13.8)
longest_read_(with_Q):3	3249 (12.0)
longest_read_(with_Q):4	3245 (12.2)
longest_read_(with_Q):5	3236 (11.7)
highest_Q_read_(with_length):1	18.2 (1617)
highest_Q_read_(with_length):2	17.4 (1609)
highest_Q_read_(with_length):3	17.1 (1608)
highest_Q_read_(with_length):4	17.1 (1605)
highest_Q_read_(with_length):5	17.0 (1604)
Reads >Q5:	6896 (100.0%) 10.9Mb
Reads >Q7:	6896 (100.0%) 10.9Mb
Reads >Q10:	6895 (100.0%) 10.9Mb
Reads >Q12:	4261 (61.8%) 6.8Mb
Reads >Q15:	402 (5.8%) 0.6Mb
