Metrics	dataset
number_of_reads	126704
number_of_bases	194831013.0
median_read_length	1611.0
mean_read_length	1537.7
read_length_stdev	303.5
n50	1612.0
mean_qual	11.9
median_qual	12.5
longest_read_(with_Q):1	4853 (11.2)
longest_read_(with_Q):2	4780 (11.1)
longest_read_(with_Q):3	4718 (11.5)
longest_read_(with_Q):4	4685 (10.9)
longest_read_(with_Q):5	3846 (11.7)
highest_Q_read_(with_length):1	22.6 (98)
highest_Q_read_(with_length):2	18.7 (1628)
highest_Q_read_(with_length):3	18.7 (1609)
highest_Q_read_(with_length):4	18.4 (1220)
highest_Q_read_(with_length):5	18.4 (1615)
Reads >Q5:	126704 (100.0%) 194.8Mb
Reads >Q7:	126704 (100.0%) 194.8Mb
Reads >Q10:	126685 (100.0%) 194.8Mb
Reads >Q12:	78477 (61.9%) 123.2Mb
Reads >Q15:	8068 (6.4%) 12.9Mb
