Metrics	dataset
number_of_reads	7693
number_of_bases	12165401.0
median_read_length	1593.0
mean_read_length	1581.4
read_length_stdev	139.6
n50	1594.0
mean_qual	12.2
median_qual	13.0
longest_read_(with_Q):1	3283 (11.4)
longest_read_(with_Q):2	3281 (11.1)
longest_read_(with_Q):3	3271 (15.5)
longest_read_(with_Q):4	3266 (13.5)
longest_read_(with_Q):5	3250 (11.4)
highest_Q_read_(with_length):1	18.1 (1619)
highest_Q_read_(with_length):2	17.6 (1622)
highest_Q_read_(with_length):3	17.5 (1577)
highest_Q_read_(with_length):4	17.5 (1581)
highest_Q_read_(with_length):5	17.5 (1579)
Reads >Q5:	7693 (100.0%) 12.2Mb
Reads >Q7:	7693 (100.0%) 12.2Mb
Reads >Q10:	7693 (100.0%) 12.2Mb
Reads >Q12:	5434 (70.6%) 8.6Mb
Reads >Q15:	708 (9.2%) 1.1Mb
