Metrics	dataset
number_of_reads	94650
number_of_bases	152464897.0
median_read_length	1616.0
mean_read_length	1610.8
read_length_stdev	36.0
n50	1616.0
mean_qual	12.2
median_qual	13.0
longest_read_(with_Q):1	1800 (10.6)
longest_read_(with_Q):2	1800 (10.9)
longest_read_(with_Q):3	1799 (11.1)
longest_read_(with_Q):4	1799 (13.9)
longest_read_(with_Q):5	1797 (11.0)
highest_Q_read_(with_length):1	20.5 (1259)
highest_Q_read_(with_length):2	18.7 (1626)
highest_Q_read_(with_length):3	18.6 (1630)
highest_Q_read_(with_length):4	18.6 (1624)
highest_Q_read_(with_length):5	18.5 (1625)
Reads >Q5:	94650 (100.0%) 152.5Mb
Reads >Q7:	94650 (100.0%) 152.5Mb
Reads >Q10:	94642 (100.0%) 152.5Mb
Reads >Q12:	67955 (71.8%) 109.7Mb
Reads >Q15:	9321 (9.8%) 15.1Mb
