Metrics	dataset
number_of_reads	14141
number_of_bases	22216196.0
median_read_length	1583.0
mean_read_length	1571.0
read_length_stdev	160.1
n50	1584.0
mean_qual	12.2
median_qual	12.9
longest_read_(with_Q):1	4661 (12.0)
longest_read_(with_Q):2	3252 (12.2)
longest_read_(with_Q):3	3246 (10.9)
longest_read_(with_Q):4	3243 (13.7)
longest_read_(with_Q):5	3242 (11.8)
highest_Q_read_(with_length):1	18.2 (1614)
highest_Q_read_(with_length):2	17.9 (1593)
highest_Q_read_(with_length):3	17.8 (1625)
highest_Q_read_(with_length):4	17.8 (1610)
highest_Q_read_(with_length):5	17.6 (1612)
Reads >Q5:	14141 (100.0%) 22.2Mb
Reads >Q7:	14141 (100.0%) 22.2Mb
Reads >Q10:	14141 (100.0%) 22.2Mb
Reads >Q12:	9881 (69.9%) 15.6Mb
Reads >Q15:	1079 (7.6%) 1.7Mb
