Metrics	dataset
number_of_reads	7536
number_of_bases	11981533.0
median_read_length	1593.0
mean_read_length	1589.9
read_length_stdev	37.3
n50	1594.0
mean_qual	12.2
median_qual	13.0
longest_read_(with_Q):1	1792 (10.5)
longest_read_(with_Q):2	1779 (13.6)
longest_read_(with_Q):3	1774 (12.7)
longest_read_(with_Q):4	1773 (11.9)
longest_read_(with_Q):5	1772 (10.9)
highest_Q_read_(with_length):1	18.1 (1619)
highest_Q_read_(with_length):2	17.6 (1622)
highest_Q_read_(with_length):3	17.5 (1577)
highest_Q_read_(with_length):4	17.5 (1581)
highest_Q_read_(with_length):5	17.5 (1579)
Reads >Q5:	7536 (100.0%) 12.0Mb
Reads >Q7:	7536 (100.0%) 12.0Mb
Reads >Q10:	7536 (100.0%) 12.0Mb
Reads >Q12:	5367 (71.2%) 8.5Mb
Reads >Q15:	702 (9.3%) 1.1Mb
