Metrics	dataset
number_of_reads	96609
number_of_bases	151702170.0
median_read_length	1582.0
mean_read_length	1570.3
read_length_stdev	203.9
n50	1584.0
mean_qual	12.0
median_qual	12.8
longest_read_(with_Q):1	19468 (10.8)
longest_read_(with_Q):2	6364 (11.1)
longest_read_(with_Q):3	5088 (10.7)
longest_read_(with_Q):4	4898 (13.8)
longest_read_(with_Q):5	4853 (12.7)
highest_Q_read_(with_length):1	26.5 (133)
highest_Q_read_(with_length):2	18.9 (1619)
highest_Q_read_(with_length):3	18.7 (1634)
highest_Q_read_(with_length):4	18.7 (1582)
highest_Q_read_(with_length):5	18.4 (1513)
Reads >Q5:	96609 (100.0%) 151.7Mb
Reads >Q7:	96609 (100.0%) 151.7Mb
Reads >Q10:	96592 (100.0%) 151.7Mb
Reads >Q12:	63808 (66.0%) 100.7Mb
Reads >Q15:	8472 (8.8%) 13.5Mb
