Metrics	dataset
number_of_reads	130245
number_of_bases	207552217.0
median_read_length	1597.0
mean_read_length	1593.6
read_length_stdev	30.1
n50	1597.0
mean_qual	12.2
median_qual	12.9
longest_read_(with_Q):1	1800 (13.4)
longest_read_(with_Q):2	1800 (15.0)
longest_read_(with_Q):3	1800 (13.7)
longest_read_(with_Q):4	1799 (12.9)
longest_read_(with_Q):5	1799 (12.1)
highest_Q_read_(with_length):1	18.9 (1542)
highest_Q_read_(with_length):2	18.7 (1585)
highest_Q_read_(with_length):3	18.6 (1566)
highest_Q_read_(with_length):4	18.4 (1578)
highest_Q_read_(with_length):5	18.4 (1559)
Reads >Q5:	130245 (100.0%) 207.6Mb
Reads >Q7:	130245 (100.0%) 207.6Mb
Reads >Q10:	130234 (100.0%) 207.5Mb
Reads >Q12:	91979 (70.6%) 146.9Mb
Reads >Q15:	10278 (7.9%) 16.5Mb
