Metrics	dataset
number_of_reads	130784
number_of_bases	183218794.0
median_read_length	1560.0
mean_read_length	1400.9
read_length_stdev	393.6
n50	1564.0
mean_qual	11.8
median_qual	12.5
longest_read_(with_Q):1	5085 (11.0)
longest_read_(with_Q):2	4971 (11.5)
longest_read_(with_Q):3	4836 (14.0)
longest_read_(with_Q):4	4786 (13.6)
longest_read_(with_Q):5	4719 (12.5)
highest_Q_read_(with_length):1	19.4 (1567)
highest_Q_read_(with_length):2	18.9 (1566)
highest_Q_read_(with_length):3	18.8 (30)
highest_Q_read_(with_length):4	18.7 (1630)
highest_Q_read_(with_length):5	18.6 (1588)
Reads >Q5:	130784 (100.0%) 183.2Mb
Reads >Q7:	130784 (100.0%) 183.2Mb
Reads >Q10:	130771 (100.0%) 183.2Mb
Reads >Q12:	79667 (60.9%) 116.1Mb
Reads >Q15:	8007 (6.1%) 12.2Mb
