Metrics	dataset
number_of_reads	73698
number_of_bases	117464503.0
median_read_length	1598.0
mean_read_length	1593.9
read_length_stdev	32.8
n50	1599.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	1800 (13.7)
longest_read_(with_Q):2	1800 (11.5)
longest_read_(with_Q):3	1799 (11.2)
longest_read_(with_Q):4	1798 (10.4)
longest_read_(with_Q):5	1798 (13.7)
highest_Q_read_(with_length):1	18.6 (1613)
highest_Q_read_(with_length):2	18.5 (1615)
highest_Q_read_(with_length):3	18.4 (1603)
highest_Q_read_(with_length):4	18.3 (1606)
highest_Q_read_(with_length):5	18.2 (1628)
Reads >Q5:	73698 (100.0%) 117.5Mb
Reads >Q7:	73698 (100.0%) 117.5Mb
Reads >Q10:	73691 (100.0%) 117.5Mb
Reads >Q12:	51108 (69.3%) 81.6Mb
Reads >Q15:	5190 (7.0%) 8.3Mb
