Metrics	dataset
number_of_reads	99266
number_of_bases	155032156.0
median_read_length	1571.0
mean_read_length	1561.8
read_length_stdev	57.9
n50	1571.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	1798 (12.3)
longest_read_(with_Q):2	1798 (12.6)
longest_read_(with_Q):3	1798 (14.1)
longest_read_(with_Q):4	1797 (14.3)
longest_read_(with_Q):5	1797 (14.8)
highest_Q_read_(with_length):1	18.9 (1567)
highest_Q_read_(with_length):2	18.8 (1576)
highest_Q_read_(with_length):3	18.6 (1547)
highest_Q_read_(with_length):4	18.5 (1580)
highest_Q_read_(with_length):5	18.4 (1513)
Reads >Q5:	99266 (100.0%) 155.0Mb
Reads >Q7:	99266 (100.0%) 155.0Mb
Reads >Q10:	99248 (100.0%) 155.0Mb
Reads >Q12:	67992 (68.5%) 106.4Mb
Reads >Q15:	7089 (7.1%) 11.1Mb
