Metrics	dataset
number_of_reads	13799
number_of_bases	21804578.0
median_read_length	1583.0
mean_read_length	1580.2
read_length_stdev	35.1
n50	1583.0
mean_qual	12.2
median_qual	12.9
longest_read_(with_Q):1	1798 (10.5)
longest_read_(with_Q):2	1793 (14.0)
longest_read_(with_Q):3	1790 (11.9)
longest_read_(with_Q):4	1790 (11.2)
longest_read_(with_Q):5	1785 (12.1)
highest_Q_read_(with_length):1	18.2 (1614)
highest_Q_read_(with_length):2	17.9 (1593)
highest_Q_read_(with_length):3	17.8 (1625)
highest_Q_read_(with_length):4	17.8 (1610)
highest_Q_read_(with_length):5	17.6 (1612)
Reads >Q5:	13799 (100.0%) 21.8Mb
Reads >Q7:	13799 (100.0%) 21.8Mb
Reads >Q10:	13799 (100.0%) 21.8Mb
Reads >Q12:	9725 (70.5%) 15.4Mb
Reads >Q15:	1072 (7.8%) 1.7Mb
