Metrics	dataset
number_of_reads	92946
number_of_bases	148431484.0
median_read_length	1612.0
mean_read_length	1597.0
read_length_stdev	62.3
n50	1613.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	1800 (10.6)
longest_read_(with_Q):2	1799 (14.3)
longest_read_(with_Q):3	1799 (10.1)
longest_read_(with_Q):4	1799 (12.5)
longest_read_(with_Q):5	1798 (13.6)
highest_Q_read_(with_length):1	19.1 (1626)
highest_Q_read_(with_length):2	18.8 (1627)
highest_Q_read_(with_length):3	18.8 (1628)
highest_Q_read_(with_length):4	18.7 (1540)
highest_Q_read_(with_length):5	18.3 (1628)
Reads >Q5:	92946 (100.0%) 148.4Mb
Reads >Q7:	92946 (100.0%) 148.4Mb
Reads >Q10:	92932 (100.0%) 148.4Mb
Reads >Q12:	61888 (66.6%) 99.0Mb
Reads >Q15:	8155 (8.8%) 13.1Mb
