Metrics	dataset
number_of_reads	88268
number_of_bases	140471509.0
median_read_length	1598.0
mean_read_length	1591.4
read_length_stdev	47.4
n50	1599.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	1800 (10.3)
longest_read_(with_Q):2	1800 (12.6)
longest_read_(with_Q):3	1799 (10.1)
longest_read_(with_Q):4	1799 (12.1)
longest_read_(with_Q):5	1799 (13.7)
highest_Q_read_(with_length):1	19.8 (1459)
highest_Q_read_(with_length):2	18.3 (1621)
highest_Q_read_(with_length):3	18.3 (1570)
highest_Q_read_(with_length):4	18.2 (1627)
highest_Q_read_(with_length):5	18.1 (1586)
Reads >Q5:	88268 (100.0%) 140.5Mb
Reads >Q7:	88268 (100.0%) 140.5Mb
Reads >Q10:	88253 (100.0%) 140.4Mb
Reads >Q12:	58969 (66.8%) 94.0Mb
Reads >Q15:	7598 (8.6%) 12.2Mb
