Metrics	dataset
number_of_reads	86142
number_of_bases	135878560.0
median_read_length	1577.0
mean_read_length	1577.4
read_length_stdev	32.4
n50	1577.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	1800 (10.9)
longest_read_(with_Q):2	1799 (10.3)
longest_read_(with_Q):3	1798 (13.2)
longest_read_(with_Q):4	1798 (10.8)
longest_read_(with_Q):5	1797 (14.0)
highest_Q_read_(with_length):1	19.9 (1535)
highest_Q_read_(with_length):2	18.7 (1576)
highest_Q_read_(with_length):3	18.6 (1579)
highest_Q_read_(with_length):4	18.5 (1574)
highest_Q_read_(with_length):5	18.5 (1579)
Reads >Q5:	86142 (100.0%) 135.9Mb
Reads >Q7:	86142 (100.0%) 135.9Mb
Reads >Q10:	86126 (100.0%) 135.9Mb
Reads >Q12:	57800 (67.1%) 91.3Mb
Reads >Q15:	7855 (9.1%) 12.4Mb
