Metrics	dataset
number_of_reads	12025
number_of_bases	19003804.0
median_read_length	1577.0
mean_read_length	1580.4
read_length_stdev	37.6
n50	1578.0
mean_qual	12.2
median_qual	13.0
longest_read_(with_Q):1	1799 (11.8)
longest_read_(with_Q):2	1794 (11.9)
longest_read_(with_Q):3	1788 (13.2)
longest_read_(with_Q):4	1785 (10.8)
longest_read_(with_Q):5	1781 (13.5)
highest_Q_read_(with_length):1	18.3 (1586)
highest_Q_read_(with_length):2	18.2 (1568)
highest_Q_read_(with_length):3	18.1 (1637)
highest_Q_read_(with_length):4	18.1 (1578)
highest_Q_read_(with_length):5	17.8 (1579)
Reads >Q5:	12025 (100.0%) 19.0Mb
Reads >Q7:	12025 (100.0%) 19.0Mb
Reads >Q10:	12022 (100.0%) 19.0Mb
Reads >Q12:	8589 (71.4%) 13.6Mb
Reads >Q15:	1150 (9.6%) 1.8Mb
