Metrics	dataset
number_of_reads	1893
number_of_bases	2999228.0
median_read_length	1583.0
mean_read_length	1584.4
read_length_stdev	34.6
n50	1584.0
mean_qual	12.3
median_qual	13.1
longest_read_(with_Q):1	1795 (11.7)
longest_read_(with_Q):2	1730 (12.0)
longest_read_(with_Q):3	1708 (11.3)
longest_read_(with_Q):4	1703 (12.1)
longest_read_(with_Q):5	1697 (10.1)
highest_Q_read_(with_length):1	17.8 (1568)
highest_Q_read_(with_length):2	17.5 (1559)
highest_Q_read_(with_length):3	17.5 (1556)
highest_Q_read_(with_length):4	17.5 (1630)
highest_Q_read_(with_length):5	17.5 (1634)
Reads >Q5:	1893 (100.0%) 3.0Mb
Reads >Q7:	1893 (100.0%) 3.0Mb
Reads >Q10:	1893 (100.0%) 3.0Mb
Reads >Q12:	1353 (71.5%) 2.1Mb
Reads >Q15:	192 (10.1%) 0.3Mb
