Metrics	dataset
number_of_reads	6
number_of_bases	9597.0
median_read_length	1604.0
mean_read_length	1599.5
read_length_stdev	52.9
n50	1636.0
mean_qual	11.8
median_qual	11.7
longest_read_(with_Q):1	1672 (14.9)
longest_read_(with_Q):2	1640 (11.5)
longest_read_(with_Q):3	1636 (11.8)
longest_read_(with_Q):4	1572 (11.5)
longest_read_(with_Q):5	1552 (14.3)
highest_Q_read_(with_length):1	14.9 (1672)
highest_Q_read_(with_length):2	14.3 (1552)
highest_Q_read_(with_length):3	11.8 (1636)
highest_Q_read_(with_length):4	11.5 (1572)
highest_Q_read_(with_length):5	11.5 (1640)
Reads >Q5:	6 (100.0%) 0.0Mb
Reads >Q7:	6 (100.0%) 0.0Mb
Reads >Q10:	6 (100.0%) 0.0Mb
Reads >Q12:	2 (33.3%) 0.0Mb
Reads >Q15:	0 (0.0%) 0.0Mb
