Metrics	dataset
number_of_reads	2718
number_of_bases	4292226.0
median_read_length	1584.0
mean_read_length	1579.2
read_length_stdev	39.0
n50	1585.0
mean_qual	12.2
median_qual	12.9
longest_read_(with_Q):1	1789 (10.8)
longest_read_(with_Q):2	1762 (11.6)
longest_read_(with_Q):3	1759 (14.9)
longest_read_(with_Q):4	1739 (10.3)
longest_read_(with_Q):5	1738 (12.8)
highest_Q_read_(with_length):1	18.3 (1558)
highest_Q_read_(with_length):2	17.6 (1588)
highest_Q_read_(with_length):3	17.5 (1605)
highest_Q_read_(with_length):4	17.0 (1622)
highest_Q_read_(with_length):5	17.0 (1544)
Reads >Q5:	2718 (100.0%) 4.3Mb
Reads >Q7:	2718 (100.0%) 4.3Mb
Reads >Q10:	2718 (100.0%) 4.3Mb
Reads >Q12:	1917 (70.5%) 3.0Mb
Reads >Q15:	226 (8.3%) 0.4Mb
