Metrics	dataset
number_of_reads	86032
number_of_bases	136221732.0
median_read_length	1583.0
mean_read_length	1583.4
read_length_stdev	46.7
n50	1584.0
mean_qual	12.0
median_qual	12.8
longest_read_(with_Q):1	1800 (11.0)
longest_read_(with_Q):2	1800 (10.7)
longest_read_(with_Q):3	1799 (12.7)
longest_read_(with_Q):4	1799 (10.5)
longest_read_(with_Q):5	1797 (13.3)
highest_Q_read_(with_length):1	19.1 (1584)
highest_Q_read_(with_length):2	18.5 (1623)
highest_Q_read_(with_length):3	18.5 (1577)
highest_Q_read_(with_length):4	18.4 (1578)
highest_Q_read_(with_length):5	18.3 (1629)
Reads >Q5:	86032 (100.0%) 136.2Mb
Reads >Q7:	86032 (100.0%) 136.2Mb
Reads >Q10:	86013 (100.0%) 136.2Mb
Reads >Q12:	57168 (66.4%) 90.7Mb
Reads >Q15:	7452 (8.7%) 11.9Mb
