Metrics	dataset
number_of_reads	12269
number_of_bases	19283600.0
median_read_length	1577.0
mean_read_length	1571.7
read_length_stdev	140.7
n50	1578.0
mean_qual	12.2
median_qual	13.0
longest_read_(with_Q):1	3317 (13.6)
longest_read_(with_Q):2	3293 (11.6)
longest_read_(with_Q):3	3268 (10.9)
longest_read_(with_Q):4	3232 (11.8)
longest_read_(with_Q):5	3209 (11.4)
highest_Q_read_(with_length):1	18.3 (1586)
highest_Q_read_(with_length):2	18.2 (1568)
highest_Q_read_(with_length):3	18.1 (1637)
highest_Q_read_(with_length):4	18.1 (1578)
highest_Q_read_(with_length):5	17.8 (1579)
Reads >Q5:	12269 (100.0%) 19.3Mb
Reads >Q7:	12269 (100.0%) 19.3Mb
Reads >Q10:	12266 (100.0%) 19.3Mb
Reads >Q12:	8703 (70.9%) 13.7Mb
Reads >Q15:	1158 (9.4%) 1.8Mb
