Metrics	dataset
number_of_reads	75506
number_of_bases	118200281.0
median_read_length	1564.0
mean_read_length	1565.4
read_length_stdev	31.6
n50	1564.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	1800 (11.8)
longest_read_(with_Q):2	1798 (11.7)
longest_read_(with_Q):3	1798 (13.8)
longest_read_(with_Q):4	1797 (10.2)
longest_read_(with_Q):5	1795 (11.5)
highest_Q_read_(with_length):1	19.0 (1565)
highest_Q_read_(with_length):2	18.7 (1571)
highest_Q_read_(with_length):3	18.7 (1568)
highest_Q_read_(with_length):4	18.7 (1503)
highest_Q_read_(with_length):5	18.5 (1585)
Reads >Q5:	75506 (100.0%) 118.2Mb
Reads >Q7:	75506 (100.0%) 118.2Mb
Reads >Q10:	75497 (100.0%) 118.2Mb
Reads >Q12:	50732 (67.2%) 79.5Mb
Reads >Q15:	6883 (9.1%) 10.8Mb
