Metrics	dataset
number_of_reads	86847
number_of_bases	139463466.0
median_read_length	1614.0
mean_read_length	1605.9
read_length_stdev	46.7
n50	1615.0
mean_qual	12.2
median_qual	13.0
longest_read_(with_Q):1	1800 (11.0)
longest_read_(with_Q):2	1799 (12.8)
longest_read_(with_Q):3	1799 (12.9)
longest_read_(with_Q):4	1799 (13.9)
longest_read_(with_Q):5	1799 (10.8)
highest_Q_read_(with_length):1	18.7 (1623)
highest_Q_read_(with_length):2	18.6 (1626)
highest_Q_read_(with_length):3	18.5 (1622)
highest_Q_read_(with_length):4	18.4 (1583)
highest_Q_read_(with_length):5	18.4 (1637)
Reads >Q5:	86847 (100.0%) 139.5Mb
Reads >Q7:	86847 (100.0%) 139.5Mb
Reads >Q10:	86834 (100.0%) 139.4Mb
Reads >Q12:	62343 (71.8%) 100.3Mb
Reads >Q15:	8552 (9.8%) 13.8Mb
